               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.035533,            0.022485,                   0,              0.3918,             0.40278,              0.2457,            0.085396,            0.064001,            0.020375,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,             0.03595,            0.021939,                   0,             0.42813,             0.33333,             0.24694,            0.089691,            0.062854,            0.020427,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.035502,            0.022385,                   0,             0.48786,             0.29109,             0.25868,             0.09361,            0.063297,            0.019806,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.035553,            0.022605,                   0,              0.5998,             0.33333,             0.31914,             0.10806,            0.068574,            0.020285,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.034526,            0.021145,                   0,             0.51834,             0.38889,             0.32488,             0.11628,            0.069783,            0.018361,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.035289,            0.022362,                   0,             0.46286,             0.34722,             0.29689,            0.096137,            0.067364,            0.018726,                   0,            0.007921,            0.007921,            0.007921
                  44,              0.0333,            0.021966,                   0,             0.39168,             0.40278,             0.26873,            0.079776,            0.067779,            0.019041,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.032705,            0.021693,                   0,             0.22412,             0.30556,             0.16143,            0.048968,            0.072417,            0.019102,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.033793,            0.021145,                   0,             0.49906,             0.30556,             0.27891,            0.097556,            0.068007,            0.018962,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.032976,            0.021227,                   0,             0.40306,             0.34722,             0.23885,            0.070435,            0.069866,            0.020252,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.031453,            0.020557,                   0,             0.46915,             0.31915,              0.2929,            0.097835,            0.065976,            0.020014,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.032539,            0.020532,                   0,             0.39995,             0.33333,             0.29471,             0.10309,            0.064413,            0.020323,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.032058,            0.020742,                   0,             0.41371,             0.33333,             0.26615,            0.084603,            0.067875,            0.020032,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.032241,             0.02131,                   0,             0.53039,             0.36111,              0.3416,             0.10323,             0.06607,            0.019874,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.033114,            0.021271,                   0,             0.44082,             0.47082,             0.37443,             0.12836,            0.067265,            0.019088,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.032414,              0.0203,                   0,             0.44636,             0.34713,             0.24437,            0.074825,            0.070044,            0.021023,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.033086,             0.02048,                   0,             0.60972,             0.34722,              0.3161,             0.09582,            0.070947,            0.019471,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.031133,            0.020757,                   0,               0.371,             0.36046,              0.2277,            0.069558,             0.06969,            0.021455,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.031451,            0.021019,                   0,             0.54538,             0.33333,             0.28068,              0.0794,            0.069053,            0.020639,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.031265,            0.020621,                   0,             0.47046,             0.33317,             0.27881,            0.090483,            0.066899,            0.021264,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.032017,            0.020137,                   0,              0.4024,             0.45827,             0.31353,             0.11731,            0.065625,            0.019657,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.030761,            0.020231,                   0,             0.41934,             0.36109,               0.294,             0.11093,            0.065585,            0.019629,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.029934,            0.019527,                   0,             0.56816,             0.34722,             0.31534,             0.11698,             0.06758,            0.020503,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.030686,             0.02015,                   0,             0.51149,             0.30539,             0.30325,             0.11531,            0.066272,            0.021519,                   0,             0.00703,             0.00703,             0.00703
                  62,             0.03038,            0.020425,                   0,             0.61696,             0.36111,             0.35741,             0.13178,            0.064999,            0.021045,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.030539,            0.019834,                   0,             0.40779,             0.40278,             0.33503,             0.12624,            0.065161,             0.02093,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.030374,             0.01985,                   0,             0.69953,             0.38889,             0.37178,             0.12676,            0.067188,            0.021411,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.029743,            0.019298,                   0,             0.56847,             0.40278,             0.37246,             0.13398,            0.066414,            0.020573,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.031484,            0.019105,                   0,             0.67564,             0.34722,             0.37441,             0.13733,            0.064179,            0.019516,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.029321,             0.01998,                   0,             0.53746,             0.38889,             0.29617,             0.11626,            0.066132,            0.020266,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.029152,            0.019548,                   0,             0.71025,             0.34722,             0.37749,               0.128,             0.06742,            0.019349,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.028725,            0.019741,                   0,             0.50967,             0.36111,             0.28936,             0.10097,            0.065855,            0.020367,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.028344,            0.019476,                   0,              0.4902,             0.36111,              0.3157,             0.11242,            0.064587,            0.020913,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.029117,            0.018415,                   0,             0.62351,             0.34722,             0.32033,             0.11509,            0.064403,            0.021053,                   0,            0.006535,            0.006535,            0.006535
                  72,             0.02906,            0.019107,                   0,             0.54517,             0.38889,             0.35279,             0.12212,            0.065458,            0.022442,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.028965,            0.019946,                   0,              0.8067,             0.29167,             0.35335,             0.12227,            0.063769,            0.021773,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.029401,            0.018521,                   0,             0.70893,             0.30556,             0.35071,             0.12045,            0.065897,            0.021865,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.028287,            0.018438,                   0,             0.41594,             0.34722,             0.33155,             0.11597,            0.065614,            0.021959,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.028155,             0.01859,                   0,             0.45756,              0.3749,             0.30876,             0.11799,            0.064823,            0.021809,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,             0.02798,            0.018584,                   0,             0.54346,             0.34722,             0.30994,             0.11235,            0.065325,            0.021403,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.028013,             0.01834,                   0,             0.43277,             0.40278,             0.30963,            0.096494,            0.065477,            0.021922,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.027769,            0.019033,                   0,             0.59901,             0.33333,             0.31858,             0.11523,            0.067193,            0.021133,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.027582,            0.018109,                   0,             0.51702,             0.41667,             0.38011,             0.10517,            0.068858,            0.021164,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.027694,            0.018098,                   0,             0.62462,             0.34722,             0.34233,             0.10767,            0.067637,            0.021985,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.027526,            0.018212,                   0,             0.49081,             0.37486,             0.31664,             0.11222,            0.065782,            0.022242,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.027092,            0.018035,                   0,             0.42236,             0.41667,             0.31947,             0.11608,            0.065197,             0.02176,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.026917,            0.017966,                   0,             0.49993,               0.375,             0.33046,              0.1175,            0.065907,            0.021309,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.027052,            0.017916,                   0,             0.49874,             0.31944,             0.27472,            0.090037,            0.067065,            0.022755,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.027328,            0.018577,                   0,             0.51956,             0.36049,               0.298,            0.094045,             0.06768,            0.023019,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.026776,            0.017646,                   0,             0.43529,               0.375,             0.27103,            0.093104,            0.068209,            0.021869,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.027058,            0.018506,                   0,             0.48986,             0.36111,             0.30739,             0.10229,            0.066951,             0.02234,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,             0.02593,            0.017947,                   0,             0.39644,             0.31944,             0.28055,            0.096062,             0.06703,            0.022822,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.027034,             0.01824,                   0,             0.56237,               0.375,             0.32246,             0.11245,            0.066136,            0.022768,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.026148,            0.017297,                   0,             0.51794,             0.38889,             0.29785,             0.09298,            0.066308,            0.022288,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.027136,              0.0185,                   0,             0.53322,             0.33333,             0.28465,             0.11731,            0.065486,            0.021814,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.025424,            0.018409,                   0,             0.46008,              0.4024,             0.32556,             0.10983,            0.065065,             0.02212,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.025367,            0.017913,                   0,             0.40898,               0.375,             0.28077,             0.10879,            0.066182,            0.021964,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.027072,            0.017668,                   0,             0.48917,               0.375,              0.2881,             0.10474,            0.065612,            0.021926,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.026268,            0.017368,                   0,             0.42202,             0.41667,             0.32803,              0.1046,            0.066243,            0.022667,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.026152,            0.017361,                   0,             0.54875,             0.38889,             0.31913,            0.099728,             0.06834,            0.022486,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.025019,            0.016642,                   0,             0.54977,             0.30556,             0.26983,            0.088314,            0.066496,            0.023286,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.026559,             0.01727,                   0,             0.47912,             0.31944,             0.25322,            0.093694,            0.066715,            0.023046,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.025113,            0.016187,                   0,             0.46291,             0.34715,             0.26496,            0.099332,            0.066329,             0.02251,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.024736,            0.017128,                   0,             0.50979,             0.31944,             0.26094,            0.089644,             0.06721,            0.022884,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.025835,            0.016819,                   0,             0.65692,             0.31913,              0.3071,             0.11033,            0.068628,            0.022268,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.025171,            0.016751,                   0,             0.51043,             0.33306,              0.3106,             0.11394,            0.069883,            0.022294,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.025813,            0.017425,                   0,             0.42078,             0.33333,             0.28701,             0.10202,            0.069514,            0.022993,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.025053,            0.017858,                   0,             0.48973,             0.33333,             0.29788,            0.099196,            0.067258,            0.023343,                   0,            0.004852,            0.004852,            0.004852
